Title,favicon URL,"% of links in <meta>, <script> & <link> tags",% of request URLs,URL,URL length,@ in URL,// last position in URL,#NAME?,domain,dot count,IP in domain,class label phishing-1 else-0,Evaluated status for title,Evaluated status for favicon,Evaluated status for tag link percentage,Evaluated status for req url percenatge,Evaluated status for having url symbol,Evaluated status for Last position,Evaluated status for IP Address,Evaluated status for Length of URL
Login - Nicediscount.net,Null,15.11627907,11.11111111,http://nicediscount.net,23,no,5,no,nicediscount,0,no,0,0,0,0,1,0,0,1,0
We bring the world to your doorstep - Cart2India Online Retail Pvt Ltd,/favicon.ico,0.992907801,30.98591549,https://cart2india.com,22,no,6,no,cart2india,0,no,0,1,0,1,1,0,0,1,0
"Manheim | Auctions, Vehicle Solutions & Remarketing",Null,0.954198473,14.01869159,https://manheim.co.uk,21,no,6,no,manheim,0,no,0,0,0,0,1,0,0,1,0
"Sesame Street | Preschool Games, Videos, & Coloring Pages to Help Kids Grow Smarter, Stronger & Kinder",Null,77.17391304,0.0,https://sesamestreet.org,24,no,6,no,sesamestreet,0,no,0,0,1,0,1,0,0,1,0
"eBay | Tecnologia, motori, collezionismo: milioni di prodotti disponibili",https://pages.ebay.com/favicon.ico,4.141291108,98.27089337,https://ebay.it,15,no,6,no,ebay,0,no,0,0,0,0,1,0,0,1,0
Kitchen Fun With My 3 Sons | Easy Recipes & Fun Ideas,https://kitchenfunwithmy3sons.com/wp-content/uploads/2020/04/icon.png,1.897154269,72.24489796,https://www.kitchenfunwithmy3sons.com,37,no,6,no,kitchenfunwithmy3sons,0,no,0,0,0,0,1,0,0,1,0
AudiobooksNow.com | Stream or Download Audiobooks Instantly!,https://static.audiobooksnow.com/android-icon-192x192.png,2.911208151,99.35483871,http://audiobooksnow.com,24,no,5,no,audiobooksnow,0,no,0,1,0,0,1,0,0,1,0
تکراتو - زندگی با تکنولوژی,/android-icon-192x192.png,5.359056806,96.2406015,https://techrato.com,20,no,6,no,techrato,0,no,0,1,0,0,1,0,0,1,0
NelsonNet Dashboard | NelsonNet Dashboard,/NelsonNetDashboard/Templates/img/nelsonNet_favicon.gif?v=8.1.0,9.917355372,64.28571429,http://nelsonnet.com.au,23,no,5,no,nelsonnet,0,no,0,1,0,0,1,0,0,1,0
Zoolz Cloud Backup The Most Affordable Cloud Backup In The World,https://www.zoolz.com/wp-content/uploads/2018/06/BigMIND_favicon.png,4.608294931,16.77852349,https://zoolz.co.uk,19,no,6,no,zoolz,0,no,0,0,0,0,1,0,0,1,0
Free Asian Dating & Filipina Singles | Join Filipino4U™,images/favicon/android-icon-192x192.png,3.963963964,54.90196078,http://filipino4u.com,21,no,5,no,filipino4u,0,no,0,1,0,1,1,0,0,1,0
Best Sales Dialer Software To Close More Deals | PhoneBurner,//d3bvlor7ot19je.cloudfront.net/usercontent/32526762/homepage/favicon.ico?v=3,2.511078287,3.092783505,https://phoneburner.com,23,no,6,no,phoneburner,0,no,0,1,0,0,1,0,0,1,0
Loading...,Null,0.0,0.0,https://zevs.trade,18,no,6,no,zevs,0,no,0,0,0,0,1,0,0,1,0
MovieNations.com,/favicons/favicon-32x32.png,2.641509434,9.375,https://www.movienations.com,28,no,6,no,movienations,0,no,0,1,0,0,1,0,0,1,0
Sakura JAV | Free HD JAV Porn Sex Videos & Movies,/wp-content/uploads/fbrfg/favicon-32x32.png?v=2,2.202643172,90.625,https://sakurajav.com,21,no,6,no,sakurajav,0,no,0,1,0,0,1,0,0,1,0
 Auphonic ,/static/images/icon.0c84789f1a57.png,3.493449782,47.27272727,https://auphonic.com,20,no,6,no,auphonic,0,no,0,1,0,1,1,0,0,1,0
SIGKDD,/favicon-32x32.png,4.941860465,91.66666667,https://kdd.org,15,no,6,no,kdd,0,no,0,1,0,0,1,0,0,1,0
N26 The Mobile Bank | Voted 'Best Bank in the World 2021',/build/favicon.ico,7.31981982,23.52941176,https://n26.com,15,no,6,no,n26,0,no,0,1,0,1,1,0,0,1,0
"
                                        A Professional Forex Signals platform.
                            
",https://www.signalstart.com/images/favicon.ico,13.12741313,90.74074074,https://signalstart.com,23,no,6,no,signalstart,0,no,0,1,0,0,0,0,0,1,0
"
	CES - The Most Influential Tech Event in the World
",https://cdn.ces.tech/ces/media/favicons/favicon-196x196.png,3.173164098,6.097560976,https://www.ces.tech,20,no,6,no,ces,0,no,0,0,0,0,1,0,0,1,0
Pet Health Network | Pet Health Network® is dedicated to the health and well-being of pets and their people.,https://pethealthnetwork.com/sites/default/files/phn_justlogo._favicon_1.png,9.756097561,59.13978495,https://pethealthnetwork.com,28,no,6,no,pethealthnetwork,0,no,0,1,0,1,1,0,0,1,0
Luxury Clothing | British Style & Designer Fashion | Country Attire UK,https://www.countryattire.com/countryattire/favicon.png,4.521477016,93.45794393,https://the-priory.com,22,no,6,yes,the-priory,0,no,0,0,0,0,1,0,0,1,0
