ID,classLabelPhishing,favLabel,percentRequestUrls,URLLength,domainLabel,dotsInDomain
20912,0,1,1,0,1,0
19174,1,1,0,0,1,0
36893,0,1,0,0,0,0
65171,1,1,0,1,0,0
89298,0,1,-1,0,0,0
17592,1,1,0,-1,0,0
90745,0,1,0,0,0,0
91875,1,1,0,1,0,0
39250,0,1,0,0,0,0
72844,1,1,0,0,0,0
96742,0,1,1,0,0,0
74301,1,1,-1,0,1,0
11876,0,1,1,0,0,0
90093,1,1,-1,-1,1,0
92491,0,1,1,0,0,0
12278,1,1,0,-1,0,0
41038,0,1,1,0,0,0
90626,1,1,0,0,0,0
37814,0,1,1,0,0,0
62708,1,1,0,0,0,0
20814,0,1,0,0,0,0
86083,1,1,0,-1,0,0
32738,0,1,-1,0,0,0
70932,1,1,0,0,0,0
34285,0,1,0,0,0,0
79839,1,1,0,-1,0,0
38164,0,1,0,0,0,0
59626,1,1,1,1,0,0
37751,0,1,0,0,0,0
33691,1,1,-1,-1,0,0
60477,0,1,1,0,0,0
74056,1,1,-1,0,0,1
82246,0,1,-1,0,0,0
41713,1,1,1,0,1,0
25938,0,1,1,0,0,0
88688,1,1,0,-1,0,0
73828,0,1,-1,0,0,0
34769,1,1,-1,-1,0,0
72072,0,1,1,0,0,0
63943,1,1,1,0,0,0
87202,0,1,0,0,0,0
87436,1,1,1,0,0,0
96288,0,0,-1,0,0,0
37872,1,1,1,0,0,0
20157,0,1,1,0,1,0
98716,1,1,1,0,1,0
22382,0,1,0,0,0,0
62822,1,1,1,0,0,0
41051,0,1,0,0,0,0
45918,1,1,1,0,0,0
30030,0,1,0,0,0,0
36658,1,1,1,0,1,0
85552,0,1,0,0,0,0
97476,1,1,1,0,1,0
24866,0,0,1,0,0,0
40777,1,1,0,-1,0,0
95494,0,1,0,0,0,0
76261,1,1,0,1,0,0
26821,0,1,1,0,0,0
86096,1,1,1,-1,0,0
96265,0,1,0,0,0,0
21021,1,1,1,1,0,0
32528,0,1,0,0,0,0
15055,1,1,1,1,1,0
60147,0,1,0,0,0,0
68508,1,1,1,1,1,0
83584,0,1,0,0,0,0
63897,1,1,1,1,1,0
63814,0,1,-1,0,0,0
79427,1,1,0,0,0,0
47827,0,1,0,0,0,0
94948,1,1,0,-1,0,0
66162,0,1,0,0,0,0
75349,1,1,0,-1,0,0
13543,0,1,0,0,0,0
96807,1,1,1,-1,1,1
69968,0,1,-1,0,0,0
64218,1,1,0,-1,0,0
23931,0,1,-1,0,0,0
44752,1,1,1,0,0,0
71810,0,1,-1,0,0,0
87905,1,1,1,1,0,0
22707,0,1,1,0,0,0
81926,1,1,0,1,0,0
37272,0,1,-1,0,0,0
37149,1,1,1,1,1,0
14236,0,1,0,0,0,0
58974,1,1,0,0,0,0
13596,0,1,0,0,0,0
65664,1,1,0,1,0,0
48786,0,1,1,0,0,0
65098,1,1,0,-1,0,0
26038,0,1,1,0,0,0
53020,1,1,1,0,0,0
10515,0,1,0,0,0,0
20319,1,1,0,1,0,0
86364,0,1,1,0,0,0
69030,1,1,1,1,0,0
62276,0,1,1,0,0,0
97480,1,1,1,1,0,0
10247,0,0,1,0,1,0
25510,1,1,1,-1,0,0
19918,0,1,0,0,0,0
69912,1,1,1,1,0,0
47811,0,1,1,0,0,0
68612,1,1,0,-1,0,0
98468,0,1,0,0,0,0
73061,1,1,1,0,0,0
14720,0,1,-1,0,0,0
12169,1,1,1,1,0,0
66463,0,1,1,0,0,0
36327,1,1,1,1,0,0
12551,0,1,0,0,0,0
86914,1,1,1,0,0,0
41452,0,0,1,0,0,0
71965,1,1,1,0,0,0
34125,0,1,-1,0,0,0
60429,1,1,1,0,0,0
79498,0,1,-1,0,0,0
43953,1,1,1,0,0,0
88890,0,1,1,0,0,0
28642,1,1,0,1,0,0
76089,0,1,-1,0,0,0
87412,1,1,0,-1,0,0
76424,0,1,-1,0,0,0
11141,1,1,1,-1,0,0
79283,0,1,1,0,0,0
29263,1,1,1,1,0,0
92497,0,1,0,0,0,0
88053,1,1,1,1,0,0
14897,0,1,1,0,0,0
34801,1,1,1,1,0,0
45193,0,1,-1,0,0,0
60356,1,1,1,1,0,0
82115,0,1,-1,0,0,0
60929,1,1,1,-1,0,0
93074,0,1,1,0,0,0
69486,1,1,1,1,0,0
77500,0,1,1,0,0,0
44331,1,1,0,1,0,1
81306,0,1,0,0,0,0
34448,1,1,0,1,0,0
33012,0,1,1,0,1,0
10344,1,1,0,-1,0,0
37112,0,1,0,0,0,0
21812,1,1,1,0,0,0
90186,0,1,-1,0,0,0
86809,1,1,1,-1,0,0
41993,0,1,-1,0,0,0
53860,1,1,1,1,0,0
32276,0,1,-1,0,0,0
88541,1,1,0,-1,0,0
47875,0,1,-1,0,0,0
85672,1,1,0,1,0,0
44064,0,1,0,0,0,0
99175,1,1,1,1,0,0
47845,0,1,-1,0,0,0
45986,1,1,1,1,0,0
74309,0,1,1,0,0,0
75780,1,1,1,0,0,0
46559,0,1,1,0,0,0
89795,1,1,1,1,0,0
53661,0,1,1,0,0,0
89151,1,1,0,1,0,0
72674,0,1,0,0,0,0
95380,1,1,0,-1,1,0
89031,0,1,1,0,0,0
45932,1,1,0,1,1,0
64352,0,1,1,0,0,0
94144,1,1,1,1,0,0
75697,0,1,1,0,0,0
52873,1,1,1,1,0,0
84851,0,1,1,0,0,0
95058,1,1,0,-1,0,0
48732,0,1,0,0,0,0
92956,1,1,0,1,0,0
82247,0,1,1,0,0,0
34091,1,1,1,-1,0,0
22139,0,1,1,0,0,0
61891,1,1,1,0,0,0
13935,0,1,1,0,0,0
84238,1,1,1,1,0,0
10386,0,1,1,0,0,0
10359,1,1,1,1,0,0
12046,0,1,1,0,0,0
77293,1,1,1,1,0,0
59222,0,1,0,0,0,0
89094,1,1,1,1,0,0
65513,0,1,0,0,0,0
87366,1,1,1,1,0,0
80790,0,1,1,0,0,0
60524,1,1,1,1,0,0
55247,0,1,1,0,1,0
94398,1,1,1,0,0,0
44732,0,1,-1,0,0,0
51929,1,1,1,1,0,0
65893,0,1,-1,0,0,0
79206,1,1,1,0,0,0
77327,0,1,-1,0,0,0
40906,1,1,1,1,0,0
58040,0,0,1,0,0,0
25080,1,1,1,1,0,0
79910,0,0,1,0,0,0
37827,1,1,1,1,0,0
93575,0,1,1,0,0,0
64338,1,1,1,1,0,0
66205,0,1,0,0,0,0
73358,1,1,1,0,0,0
43772,0,1,0,0,0,0
71346,1,1,1,-1,0,0
89833,0,1,0,0,0,0
82433,1,1,1,-1,0,0
54238,0,1,0,0,0,0
68249,1,1,1,0,0,0
58695,0,1,1,0,0,0
21322,1,1,1,-1,0,0
55925,0,1,0,0,0,0
94761,1,1,0,0,0,0
74782,0,1,-1,0,0,0
86538,1,1,1,1,0,0
12904,0,1,0,0,0,0
71459,1,1,1,0,0,0
82466,0,1,1,0,0,0
63181,1,1,1,1,0,0
53773,0,1,1,0,0,0
35381,1,1,1,1,0,0
59844,0,1,1,0,0,0
26303,1,1,1,-1,0,0
32127,0,1,1,0,0,0
76025,1,1,1,1,0,0
48029,0,1,1,0,0,0
48425,1,1,1,1,0,0
66064,0,1,1,0,1,0
14822,1,1,1,1,0,0
77268,0,1,0,0,0,0
55031,1,1,1,1,0,0
63217,0,1,-1,0,0,0
94554,1,1,1,1,0,0
98606,0,1,0,0,0,0
35982,1,1,1,1,1,0
18443,0,1,0,0,0,0
41933,1,1,1,1,1,0
62488,0,1,0,0,0,0
81442,1,1,0,1,0,0
82785,0,1,-1,0,0,0
11672,1,1,1,0,0,0
94433,0,1,-1,0,0,0
60613,1,1,1,0,0,0
10506,0,1,0,0,0,0
44688,1,1,0,1,0,0
98078,0,1,-1,0,0,0
62732,1,1,0,-1,0,0
73912,0,1,0,0,0,0
86870,1,1,1,1,0,0
54807,0,1,1,0,0,0
91129,1,1,1,1,0,0
29035,0,0,1,0,1,0
19112,1,1,1,0,0,0
38350,0,1,-1,0,0,0
88241,1,1,1,1,0,0
69213,0,0,-1,0,0,0
70534,1,1,1,1,0,0
62968,0,1,0,0,0,0
19829,1,1,1,1,0,0
56826,0,1,0,0,0,0
21620,1,1,1,1,0,0
34170,0,1,0,0,0,0
32086,1,1,1,1,0,0
48409,0,1,0,0,0,0
33513,1,1,0,0,0,0
27650,0,1,0,0,0,0
81214,1,1,0,-1,0,0
79552,0,1,1,0,0,0
53889,1,1,1,1,0,0
60539,0,1,1,0,0,0
89166,1,1,1,-1,0,0
33657,0,1,0,0,0,0
55107,1,1,1,1,0,0
75323,0,1,0,0,0,0
11331,1,1,1,-1,0,0
16724,0,1,1,0,0,0
62934,1,1,0,1,1,1
91246,0,1,0,0,0,0
42496,1,1,1,0,0,0
44545,0,1,-1,0,0,0
57093,1,1,1,1,0,0
46937,0,1,-1,0,0,0
44975,1,1,1,1,0,0
52656,0,1,1,0,0,0
15036,1,1,1,-1,0,0
65516,0,1,0,0,0,0
58927,1,1,1,1,0,0
55598,0,1,0,0,0,0
27432,1,1,1,1,0,0
15271,0,0,0,0,0,0
32491,1,1,1,1,0,0
65895,0,0,1,0,1,0
64663,1,1,1,1,0,0
57204,0,1,0,0,0,0
83647,1,1,1,1,0,0
78913,0,1,0,0,0,0
93376,1,1,1,-1,0,0
38035,0,1,0,0,0,0
14067,1,1,1,1,0,0
39354,0,1,-1,0,0,0
